descriptor-temperature	descriptor-logPressure	dCO2_g/dCO_s	dCO2_g/dO_s	dCO2_g/dO-CO_s	dCO2_g/dO-O_s	dCO_g/dCO_s	dCO_g/dO_s	dCO_g/dO-CO_s	dCO_g/dO-O_s	dO2_g/dCO_s	dO2_g/dO_s	dO2_g/dO-CO_s	dO2_g/dO-O_s
1000.0	3.0	0.0	0.0	0.0	0.0	1.6944767123639599e-46	4.082118248682072e-98	1.3985817356915762e-102	1.5660535356172003e-100	-3.3889534247279198e-46	-8.164236497364145e-98	-2.7971634713831525e-102	-3.132107071234436e-100
1000.0	2.2142857142857135	0.0	0.0	0.0	0.0	6.288440564363981e-47	4.204062154839548e-98	1.5007207729692477e-102	1.6804394391755605e-100	-1.2576881128727961e-46	-8.408124309679093e-98	-3.001441545933769e-102	-3.360878878351121e-100
1000.0	1.4285714285714288	0.0	0.0	0.0	0.0	-2.919858588396639e-45	-3.114194600001469e-45	3.4108149769268832e-46	-9.42989766729417e-46	5.839717176793278e-45	6.228389200002938e-45	-6.8216299538537664e-46	1.885979533458834e-45
1000.0	0.6428571428571423	0.0	0.0	0.0	0.0	-2.006679867513298e-45	-2.1390601558003895e-45	2.3436253709105707e-46	5.6006499039745226e-45	4.013359735026596e-45	4.278120311600779e-45	-4.687250741821141e-46	-1.1201299807949045e-44
1000.0	-0.14285714285714324	0.0	0.0	0.0	0.0	3.3357003738060004e-45	-3.0677115953504826e-43	-3.906240963061197e-46	-9.314823582157647e-45	-6.671400747612001e-45	6.135423190700965e-43	7.812481926122395e-46	1.8629647164315295e-44
1000.0	-0.9285714285714288	0.0	0.0	0.0	0.0	2.692712229364938e-44	-3.2412331021321504e-42	-3.209872152391817e-45	-7.555393939583823e-44	-5.385424458729876e-44	6.482466204264301e-42	6.419744304783634e-45	1.5110787879167646e-43
1000.0	-1.7142857142857144	0.0	0.0	0.0	0.0	1.8040218176915173e-45	-2.027698852353333e-41	-6.6085307384753984e-46	-1.4536505677783273e-44	-3.6080436353830346e-45	4.055397704706666e-41	1.3217061476950797e-45	2.9073011355566545e-44
1000.0	-2.5	0.0	0.0	0.0	0.0	1.229723550202036e-41	-8.049368033892248e-41	-2.2589728043549523e-42	-3.3838005924733867e-41	-2.459447100404072e-41	1.6098736067784496e-40	4.5179456087099046e-42	6.767601184946773e-41
1000.0	-3.2857142857142856	0.0	0.0	0.0	0.0	3.235859715778741e-40	1.8726263073443227e-40	-1.7149397913674556e-40	-8.893440617511253e-40	-6.471719431557482e-40	-3.745252614688645e-40	3.429879582734911e-40	1.7786881235022506e-39
1000.0	-4.071428571428571	0.0	0.0	0.0	0.0	3.1560529491574965e-40	3.309524473305857e-40	-9.444568967730601e-40	-8.67364021887652e-40	-6.312105898314993e-40	-6.619048946611714e-40	1.8889137935461203e-39	1.734728043775304e-39
